uuid,名称,方法,说明,domain
fdbc4ffb-31e6-534d-b263-1fc6be4616e6,深夜环境下的费曼法,效率工具,针对深夜优化的克服对知识的恐惧,ACADEMIC
516089da-4816-579b-817a-3d6d384b3419,面试前环境下的费曼法,效率工具,针对面试前优化的克服对知识的恐惧,ACADEMIC
7076d791-ec23-58a1-9a43-781f2cecec7b,自习室环境下的费曼法,效率工具,针对自习室优化的克服对知识的恐惧,ACADEMIC
1b25c646-ec4c-5439-9bb5-27e1e5833692,宿舍环境下的番茄钟,时间管理,针对宿舍优化的解决拖延执行力,ACADEMIC
02fad745-95cd-5c35-a304-5fb08ed41581,图书馆环境下的番茄钟,时间管理,针对图书馆优化的解决拖延执行力,ACADEMIC
0807af15-6155-5c18-9ccb-72365c19ad30,招聘场环境下的番茄钟,时间管理,针对招聘场优化的解决拖延执行力,ACADEMIC
a2851da6-f136-5eef-bf61-6c1ebc6b9cb4,实验室环境下的番茄钟,时间管理,针对实验室优化的解决拖延执行力,ACADEMIC
6fbd033f-2226-5e90-ad64-33ffdf7b67dc,深夜环境下的番茄钟,时间管理,针对深夜优化的解决拖延执行力,ACADEMIC
926177d4-0224-5cf9-90fb-9e3eb35ea697,面试前环境下的番茄钟,时间管理,针对面试前优化的解决拖延执行力,ACADEMIC
c62b763b-2eaf-5f22-b1c0-3924fab956c1,自习室环境下的番茄钟,时间管理,针对自习室优化的解决拖延执行力,ACADEMIC
cf5579ac-c1ff-54a7-b86c-9e2880d90fc6,宿舍环境下的着陆法,正念技术,针对宿舍优化的应对惊恐发作,CRISIS
03d017e0-288c-5dd2-a5c1-23d9f0e972ef,图书馆环境下的着陆法,正念技术,针对图书馆优化的应对惊恐发作,CRISIS
60ac6b50-16de-5187-829a-e430df71421d,招聘场环境下的着陆法,正念技术,针对招聘场优化的应对惊恐发作,CRISIS
b5e775ea-fd3b-51e8-95ed-eae31741fcdd,实验室环境下的着陆法,正念技术,针对实验室优化的应对惊恐发作,CRISIS
d07e4f5d-09ee-56f8-9805-43ea33d22ef1,深夜环境下的着陆法,正念技术,针对深夜优化的应对惊恐发作,CRISIS
55007c0b-b86e-5cb5-8e5d-38dda78d2411,面试前环境下的着陆法,正念技术,针对面试前优化的应对惊恐发作,CRISIS
4b4ff6be-7f87-52de-a483-ad3b03f80f68,自习室环境下的着陆法,正念技术,针对自习室优化的应对惊恐发作,CRISIS
73c762b3-4580-5c15-9c85-4fcc10245c8f,宿舍环境下的空椅子对话,完型技术,针对宿舍优化的调试人际冲突,INTERPERSONAL
99a1a9cc-badc-5077-9318-f7a6c7ae96e3,图书馆环境下的空椅子对话,完型技术,针对图书馆优化的调试人际冲突,INTERPERSONAL
0c123fc2-2235-53fc-bbd0-a02fe1fd6bf8,招聘场环境下的空椅子对话,完型技术,针对招聘场优化的调试人际冲突,INTERPERSONAL
3bc16964-ce1b-5330-955d-a9502e6a7a5c,实验室环境下的空椅子对话,完型技术,针对实验室优化的调试人际冲突,INTERPERSONAL
55423717-571c-5cbd-abd1-76b781efaf26,深夜环境下的空椅子对话,完型技术,针对深夜优化的调试人际冲突,INTERPERSONAL
e591f834-f5a8-5e01-a331-c5a3f39bd758,面试前环境下的空椅子对话,完型技术,针对面试前优化的调试人际冲突,INTERPERSONAL
dfb7cc18-899d-5bef-8854-89078b09d47d,自习室环境下的空椅子对话,完型技术,针对自习室优化的调试人际冲突,INTERPERSONAL
9fce696b-f506-5f46-a8a1-43cf42f1cd66,宿舍环境下的SWOT分析,决策技术,针对宿舍优化的职业目标规划,CAREER
cda0ea0f-9b5d-5ad7-a185-9d5ddbd16a34,图书馆环境下的SWOT分析,决策技术,针对图书馆优化的职业目标规划,CAREER
2b87b03b-8ee7-5d8c-a409-bc1e29d5d6a9,招聘场环境下的SWOT分析,决策技术,针对招聘场优化的职业目标规划,CAREER
f2c3dcc4-9193-5af8-902d-7920ce8a6865,实验室环境下的SWOT分析,决策技术,针对实验室优化的职业目标规划,CAREER
d231da97-2be8-516c-96e8-29f04bab3963,深夜环境下的SWOT分析,决策技术,针对深夜优化的职业目标规划,CAREER
19d1090b-4ddc-580d-b53d-58d5130563d1,面试前环境下的SWOT分析,决策技术,针对面试前优化的职业目标规划,CAREER
3b11d07a-590a-5255-b323-a8c9210d5176,自习室环境下的SWOT分析,决策技术,针对自习室优化的职业目标规划,CAREER
1387ac2f-2c67-5214-b91c-0b4a459ddfec,宿舍环境下的肌肉渐进放松,生理反馈,针对宿舍优化的调节考前紧绷,EMOTIONAL
11da9fb5-7c16-51b5-8a62-2ffb59bb593e,图书馆环境下的肌肉渐进放松,生理反馈,针对图书馆优化的调节考前紧绷,EMOTIONAL
2d492279-a235-5e3b-a707-161adde19eaf,招聘场环境下的肌肉渐进放松,生理反馈,针对招聘场优化的调节考前紧绷,EMOTIONAL
1334edbc-7823-5ff2-8252-f00c5536ed12,实验室环境下的肌肉渐进放松,生理反馈,针对实验室优化的调节考前紧绷,EMOTIONAL
4a5017d7-8d2a-5da8-92dd-8ef421831599,深夜环境下的肌肉渐进放松,生理反馈,针对深夜优化的调节考前紧绷,EMOTIONAL
556bb2f5-aebe-5eb6-96f8-f8c946d5194b,面试前环境下的肌肉渐进放松,生理反馈,针对面试前优化的调节考前紧绷,EMOTIONAL
3c02a01a-2f82-5f73-b563-30138972c1d4,自习室环境下的肌肉渐进放松,生理反馈,针对自习室优化的调节考前紧绷,EMOTIONAL
3a2dfd31-1895-5f04-b494-44acf234a6de,宿舍环境下的非暴力沟通,社交技术,针对宿舍优化的宿舍矛盾调和,INTERPERSONAL
171d1069-cff7-53f6-81b1-c2d60976d858,图书馆环境下的非暴力沟通,社交技术,针对图书馆优化的宿舍矛盾调和,INTERPERSONAL
305f6eb2-0d6c-5f7f-9702-d569b69abdde,招聘场环境下的非暴力沟通,社交技术,针对招聘场优化的宿舍矛盾调和,INTERPERSONAL
d1b1c12c-1abb-55d6-98d5-1eedc278e159,实验室环境下的非暴力沟通,社交技术,针对实验室优化的宿舍矛盾调和,INTERPERSONAL
b036549a-205e-5f44-973c-81fed03a3457,深夜环境下的非暴力沟通,社交技术,针对深夜优化的宿舍矛盾调和,INTERPERSONAL
60172896-4c9d-5cfd-b7e5-de6a2ef14abe,面试前环境下的非暴力沟通,社交技术,针对面试前优化的宿舍矛盾调和,INTERPERSONAL
16381bdc-17c4-5abc-b906-366fb1ebd050,自习室环境下的非暴力沟通,社交技术,针对自习室优化的宿舍矛盾调和,INTERPERSONAL
