uuid,名称,封面图,内容摘要,url
ed9bc303-edc2-5db0-8291-651e4cacaa5b,《重度抑郁预警：当你开始对所有事情失去兴趣时该怎么办？》,media/articles/severe_depression_warning.png,‘不快乐’与‘抑郁’有着本质区别。当你感到长期的兴趣丧失、绝望和体力耗竭时，请立刻寻求专业心理医生或...  (内容待进一步编辑补全),/api/articles/ed9bc303-edc2-5db0-8291-651e4cacaa5b/
a08b1943-a31c-57a4-a3b7-a7d210b7a03c,《容貌焦虑的真相：媒体标准如何重塑了我们的自我否定？》,media/articles/appearance_anxiety_truth.png,滤镜之下的完美并不存在。拒绝由于社交媒体驱动的‘标准化审美’，找回自己的独特魅力。自信的眼神比任何化...  (内容待进一步编辑补全),/api/articles/a08b1943-a31c-57a4-a3b7-a7d210b7a03c/
99170ec0-45e8-5320-85a8-247f53b377c4,《失恋后的“戒断反应”：基于认知神经科学生成的自愈指南》,media/articles/breakup_brain_healing.png,你的悲伤是有生理基础的——多巴胺的缺失让大脑处于戒断状态。不要强求立刻忘记，通过运动、社交和培养新爱...  (内容待进一步编辑补全),/api/articles/99170ec0-45e8-5320-85a8-247f53b377c4/
93e968f9-6096-5dd3-ac2c-3ed4f40bb4ea,《亲社会行为：如何在校园社团中建立深度的人机互动与友谊》,media/articles/campus_friendship_building.png,孤独是大学的常态，但不是必然。通过主动承担社团责任、参与志愿服务，你能在共同奋斗的过程中收获最纯粹的...  (内容待进一步编辑补全),/api/articles/93e968f9-6096-5dd3-ac2c-3ed4f40bb4ea/
26203a3b-69c7-5fc9-b0c7-8d7ee9458690,《室友作息差异：如何科学地制订宿舍文明公约？》,media/articles/dorm_schedule_conflict.png,猫头鹰与百灵鸟并非不可共存。通过协商耳机使用、熄灯时间以及紧急状态下的静音协议，将生活摩擦降到最低。...  (内容待进一步编辑补全),/api/articles/26203a3b-69c7-5fc9-b0c7-8d7ee9458690/
e7b2031c-e9bd-503c-901c-41f6fd5bfbd7,《从激战到停火：异地恋矛盾的深度沟通与信任修复》,media/articles/long_distance_trust.png,屏幕无法传递体温，但可以传递真心。异地恋的矛盾大多源于猜忌与缺乏参与感。通过定期的深度视频通话、共享...  (内容待进一步编辑补全),/api/articles/e7b2031c-e9bd-503c-901c-41f6fd5bfbd7/
a0bfa5fb-34ce-5acc-ad78-da7cdd663c62,《讨好型人格的边界感：学会拒绝是成年人的必备修养》,media/articles/people_pleaser_boundaries.png,善良必须带点锋芒。为了合群而牺牲自我，最终只会换来轻视。建立你的边界感，明确告诉别人你的底线，真正的...  (内容待进一步编辑补全),/api/articles/a0bfa5fb-34ce-5acc-ad78-da7cdd663c62/
80294547-d2e3-5029-aa73-fdb9bf07a011,《社交自卑：为什么你总觉得别人在背后议论你？》,media/articles/social_inferiority.png,聚光灯效应让我们过度关注自己。事实上，每个人都更关心自己的形象。穿上心理‘隐身衣’，从关注别人的话题...  (内容待进一步编辑补全),/api/articles/80294547-d2e3-5029-aa73-fdb9bf07a011/
ae18fd25-e5d9-5970-b2d4-e375024427fe,《寝室隐形霸凌：识别边缘化信号并勇敢说“不”》,media/articles/dorm_bullying_signals.png,沉默的排挤也是一种暴力。当你感到自己被刻意孤离时，请及时记录证据并向辅导员求助。你的忍让只会滋生更多...  (内容待进一步编辑补全),/api/articles/ae18fd25-e5d9-5970-b2d4-e375024427fe/
6b085128-1983-58e0-8f6a-2cf4f575a194,《公开演讲焦虑：如何在众人面前自信地展示你的研究成果？》,media/articles/public_speaking_anxiety.png,手抖、心跳加速、语速变快？这是身体在为你‘战斗’提供能量。通过预演、视觉化成功和深呼吸，将这种能量转...  (内容待进一步编辑补全),/api/articles/6b085128-1983-58e0-8f6a-2cf4f575a194/
9cdeb764-014b-58ea-81e3-7dcf866e6363,《转专业失败后的心理调适：第二跑道上的风景也精彩》,media/articles/major_transfer_failure.png,没能进入理想专业不代表理想破灭。通过辅修、讲座和自主学习，你依然可以构建跨学科的知识版图。在不喜欢的...  (内容待进一步编辑补全),/api/articles/9cdeb764-014b-58ea-81e3-7dcf866e6363/
85818446-531b-519b-b120-5e5833d4f246,《AI时代下的职业规划：文科生如何建立不可替代的软实力？》,media/articles/ai_era_liberal_arts.png,算法可以计算，但无法共情。文科生在批判性思维、跨文化沟通和复杂情感处理上的优势，正是AI温床上的稀缺...  (内容待进一步编辑补全),/api/articles/85818446-531b-519b-b120-5e5833d4f246/
cd3b7f4c-a1aa-5dce-9e34-3e269d72d00a,《论文迟延症：从追求完美到先完成再完美的心理转型》,media/articles/thesis_procrastination.png,完美主义是效率的天敌。通过‘番茄工作法’和‘5分钟起步法’，打破论文写作的心理围墙。初稿就是用来修改...  (内容待进一步编辑补全),/api/articles/cd3b7f4c-a1aa-5dce-9e34-3e269d72d00a/
e45eb29c-6ed5-5165-ba62-318182ae5cae,《面对期末“满垒”挂科风险：系统性的学业修复与心态重建》,media/articles/final_exam_recovery.png,挂科不是终点，而是调整学习方法的起点。从梳理知识体系到寻求导修课支持，我们为你提供全方位的学业挽救指...  (内容待进一步编辑补全),/api/articles/e45eb29c-6ed5-5165-ba62-318182ae5cae/
573bb6ea-8bca-55a2-a017-f8d3d9a0dc55,《大厂实习倒计时：克服入职前的“冒充者综合征”》,media/articles/imposter_syndrome_intern.png,当你拿到心仪的Offer，却觉得自己是‘骗子’时，你正在经历冒充者综合征。接纳自己的不足，记录每一个...  (内容待进一步编辑补全),/api/articles/573bb6ea-8bca-55a2-a017-f8d3d9a0dc55/
1dd6e8c9-729d-5bd9-adf7-b2fb1a11b20c,《拒绝考研内卷：如何根据自身优势制定差异化竞争策略？》,media/articles/postgrad_anxiety_strategy.png,考研不应是一场盲目的跟随。通过SWOT分析，识别自己的学科优势与兴趣所在，制定出避开红海、直击蓝海的...  (内容待进一步编辑补全),/api/articles/1dd6e8c9-729d-5bd9-adf7-b2fb1a11b20c/
