uuid,名称,domain
1de07fe5-6bec-5d21-9405-c539cec95230,慢性暴饮暴食,INTERPERSONAL
8e80970f-ef0f-5800-a3ab-8827dc054250,急性暴饮暴食,ACADEMIC
3a58cfd1-afff-5d01-b1de-037660907256,反复暴饮暴食,INTERPERSONAL
3b4b2752-1209-5bfc-8552-0228295b244e,夜间暴饮暴食,INTERPERSONAL
0a8c8673-b3dd-5056-943b-a431798999ef,晨间暴饮暴食,EMOTIONAL
da83aa2b-5a25-5775-9751-781986b52c22,应激性暴饮暴食,ACADEMIC
6aab2c76-fa79-581f-935d-c69d8a28b646,初期嗜睡,ACADEMIC
2b9a6960-32c8-58aa-a0a3-500134b5df5b,慢性嗜睡,EMOTIONAL
9e78f448-69f6-5ba5-b79d-0922009f9539,急性嗜睡,EMOTIONAL
be4db655-6db4-5199-9dc5-feecd897ae56,反复嗜睡,ACADEMIC
134c8ba5-40e1-534c-94bb-913c8d0446a3,夜间嗜睡,ACADEMIC
5dd08d1f-27b5-5645-ae9e-314a6dda79e8,晨间嗜睡,EMOTIONAL
3996225e-acfa-5c2b-b8f2-169eebad202a,应激性嗜睡,INTERPERSONAL
19ad96f7-cf8a-569d-bfc2-4844e024da81,初期严重失眠,INTERPERSONAL
40a62208-70e5-5f56-83f9-e7b747c41284,慢性严重失眠,INTERPERSONAL
0ee867f2-5dbf-553c-b0ce-79810fafc7d8,急性严重失眠,ACADEMIC
07382176-c440-535f-be1c-04452b9784a1,反复严重失眠,EMOTIONAL
c70c07a8-ad05-5495-a0d3-979fff408497,夜间严重失眠,EMOTIONAL
e9068249-6424-5d8d-8df1-73fcf9c910bc,晨间严重失眠,INTERPERSONAL
de90df2a-1856-5b47-843e-379910e3f6d5,应激性严重失眠,ACADEMIC
38605036-3a18-5c01-97d9-73a8986ba5b5,初期反刍思考,INTERPERSONAL
c00c73f5-bbd8-5042-857b-e5ea249d72b9,慢性反刍思考,EMOTIONAL
4f716d82-919e-5d16-8618-53123eaee566,急性反刍思考,INTERPERSONAL
0f72dc4e-9fb6-5972-bdfe-9de952e13bd0,反复反刍思考,INTERPERSONAL
18616742-3dd8-5ff5-9457-3c870358593a,夜间反刍思考,EMOTIONAL
063c9707-e4e6-53dc-a6a2-15506e61030a,晨间反刍思考,EMOTIONAL
80e848f7-e86d-5d0a-b6d6-5e5c567e300e,应激性反刍思考,INTERPERSONAL
e20d1073-666e-5927-ab90-f95f52f514b4,初期注意力不集中,INTERPERSONAL
6e5cbe41-4498-56da-8d59-726492e0ad84,慢性注意力不集中,ACADEMIC
feb11de3-3c8b-5f5a-b56f-90432d72131f,急性注意力不集中,EMOTIONAL
3f4b45f3-02e7-57d5-904b-a2343c905f48,反复注意力不集中,EMOTIONAL
0d4deae3-e0d7-5ba3-99b8-cd263d5e241d,夜间注意力不集中,INTERPERSONAL
9575e41b-9d30-555e-a2a4-a87fdb299c90,晨间注意力不集中,INTERPERSONAL
09409014-4343-5a9d-a650-3146ceea6e3e,应激性注意力不集中,EMOTIONAL
1bda8214-d2a9-5ddb-8832-fff236646c41,初期社交回避,INTERPERSONAL
4c7d9d65-dbe0-54d7-a0ad-bb1e00605c64,慢性社交回避,INTERPERSONAL
ee32b344-c2a5-5d7d-acaf-ba4060b647f4,急性社交回避,EMOTIONAL
dddbafa0-5fb8-56f4-b0e1-bc2b60701c15,反复社交回避,ACADEMIC
d4d12ac4-cdd3-549c-b2b3-0cabfd585131,夜间社交回避,EMOTIONAL
b9822ba7-8f23-5e7d-a864-69f0ea37df34,晨间社交回避,ACADEMIC
7291f620-43ce-5055-b3af-9c303244e77c,应激性社交回避,EMOTIONAL
030ba14e-3cf5-57cd-9b9e-062159bf69c7,初期坐立不安,INTERPERSONAL
93cf1362-b71f-5bf7-b098-e68de72529cb,慢性坐立不安,INTERPERSONAL
4fc09b91-6343-5fa0-9391-df31b9280269,急性坐立不安,EMOTIONAL
e303fbb7-dfce-5db3-9ba5-2f9e32d5cf5a,反复坐立不安,EMOTIONAL
d38ac0dc-3afa-5fa5-969a-38e64754605e,夜间坐立不安,INTERPERSONAL
c0197901-809e-56db-8bf7-8d19fc385691,晨间坐立不安,INTERPERSONAL
b4a4a4a4-c60b-5cdf-868f-8cd9b34ff68c,应激性坐立不安,EMOTIONAL
1331a393-f7b7-5663-a85a-bd963bd039b0,初期莫名流泪,INTERPERSONAL
8dc50ac7-80d7-5978-b50f-6668e6278d59,慢性莫名流泪,EMOTIONAL
270117dd-b95e-55ed-876a-cfdc1c265ad1,急性莫名流泪,INTERPERSONAL
cac570f9-26c8-59cf-9d3a-37752fad0ba5,反复莫名流泪,INTERPERSONAL
fe557ecc-3b52-5977-80e6-9c613b93900d,夜间莫名流泪,ACADEMIC
c2c2fa43-c749-55cd-8892-75fdd835f697,晨间莫名流泪,INTERPERSONAL
7d4896ac-249b-59f5-8263-bde592e0810b,应激性莫名流泪,ACADEMIC
8ed2140d-a84a-521e-aa21-09c3d4044975,初期思维阻塞,INTERPERSONAL
5b80c035-1299-55b8-be6f-29f1f8d8d114,慢性思维阻塞,ACADEMIC
9a3e4464-4253-5b9e-9f59-29caa0c3773f,急性思维阻塞,EMOTIONAL
2895c17e-2791-5b3b-b7c4-17343a1fc33f,反复思维阻塞,ACADEMIC
33e80cdd-b36f-5e69-b6dd-e74c766b730d,夜间思维阻塞,EMOTIONAL
6876bc9f-11af-5c82-9663-dc4be65b6706,晨间思维阻塞,EMOTIONAL
ef08d21c-62c9-5f6f-84a0-6fb577375c5a,应激性思维阻塞,INTERPERSONAL
84bc9e62-2817-5004-b0c4-78b428703e21,初期自我评价低,ACADEMIC
261ec077-697c-515a-8424-1165b3fda51a,慢性自我评价低,ACADEMIC
a525c257-6758-5bde-8833-29db7775ce94,急性自我评价低,EMOTIONAL
8a880d1e-b955-52a6-9849-357c654a94e0,反复自我评价低,INTERPERSONAL
fe7cb7ec-3f39-5579-9ed3-f4813161162f,夜间自我评价低,INTERPERSONAL
5e3f9cc0-eac8-5e39-a875-15bedd2439e8,晨间自我评价低,ACADEMIC
030456e8-c20d-5715-a7b1-273255c7097f,应激性自我评价低,EMOTIONAL
0e892824-dc09-5975-8983-493fc54314bc,初期感到绝望,INTERPERSONAL
4e9a0e34-efae-5934-bdbb-66747ef70738,慢性感到绝望,EMOTIONAL
765d9f4f-e1f6-5daa-b779-0e558848c9a3,急性感到绝望,EMOTIONAL
7a949c41-0b28-5872-976d-9f0c2472cfff,反复感到绝望,ACADEMIC
31c83ad7-1f10-58d3-bb8f-9d6f4c877e97,夜间感到绝望,ACADEMIC
9c8a4c42-49d5-55c4-821c-628fbcafa393,晨间感到绝望,EMOTIONAL
2808422a-ff2e-5188-ad3f-557bd86b9a02,应激性感到绝望,EMOTIONAL
4e8190d4-f1f6-5a5f-9b1e-8df899bfdb4a,初期情绪易激惹,ACADEMIC
1920b67d-e94f-55fb-9404-ecc243234d76,慢性情绪易激惹,INTERPERSONAL
25cb0eb5-4a92-5310-b8b7-bcec78abfb62,急性情绪易激惹,INTERPERSONAL
f63a3942-d463-52da-bc31-5813e1a6f3dd,反复情绪易激惹,INTERPERSONAL
29fa78b2-f96a-5936-b9e4-e6668fbf0574,夜间情绪易激惹,ACADEMIC
eee7d791-6b6e-5c47-9b04-1e437298d98f,晨间情绪易激惹,ACADEMIC
48ab2723-72b4-5215-b2b5-09f3dd4ba2c5,应激性情绪易激惹,INTERPERSONAL
aff80ef7-7597-5ee0-a3c2-bd6d57f19340,初期幻听,EMOTIONAL
8e42ea5f-c256-5681-b66f-cad915419120,慢性幻听,INTERPERSONAL
03104b6a-189f-5430-b1d8-2a9b817c66ed,急性幻听,INTERPERSONAL
57de6368-64a4-57fd-a083-73948db79a5e,反复幻听,INTERPERSONAL
14b4b4d0-ea45-565b-956d-99bcea15b4dd,夜间幻听,EMOTIONAL
38ae6eed-1ebd-5882-ac45-d7f6fea6ee7a,晨间幻听,ACADEMIC
f93bc846-3535-54c7-849a-2e4617078e67,应激性幻听,EMOTIONAL
11927d5f-ca0f-50a2-b925-74f3835cf68b,初期惊恐发作,EMOTIONAL
cdf86d4c-ae12-5e68-846f-fa2e0f525c6c,慢性惊恐发作,EMOTIONAL
f73ef884-f15b-5e5d-b545-8eff490fc04f,急性惊恐发作,EMOTIONAL
fac9bd02-d1ec-5eb7-8321-24cafd502941,反复惊恐发作,EMOTIONAL
158523e0-927c-5896-bdcc-130ba11ce85a,夜间惊恐发作,EMOTIONAL
a9a1acdd-cc14-5b95-9907-395ef5d097d4,晨间惊恐发作,EMOTIONAL
7930a392-b014-5ab5-a2fb-33d272459783,应激性惊恐发作,EMOTIONAL
5e3f09e1-1179-5b29-93cf-fe1ad0d4dfe9,初期过度消费,ACADEMIC
ec30a050-28f7-5085-afde-6ee77da09fc6,慢性过度消费,EMOTIONAL
b15d793d-348b-5c53-b532-c9c6e00b4192,急性过度消费,ACADEMIC
019c81dd-210f-5b8a-8fce-b9d285f03a9f,反复过度消费,ACADEMIC
e27b5b46-da60-57f7-8644-0d1477a0cae9,夜间过度消费,ACADEMIC
d049a51b-d7b2-5861-b71d-b4ed7c942946,晨间过度消费,EMOTIONAL
d9c1f57c-121a-5e25-a3c2-b839fc780675,应激性过度消费,EMOTIONAL
a48e4c09-afb9-59f2-a6b8-cc3121182b33,初期逃避行为,ACADEMIC
875ee41b-f862-555f-a623-5758f50ebd49,慢性逃避行为,ACADEMIC
32f32fc9-a662-5e0f-8a98-6d190ae1f432,急性逃避行为,INTERPERSONAL
351800c5-58f6-51d1-bce5-18f249650c3b,反复逃避行为,ACADEMIC
132e3c46-2ffc-570a-adbe-0d74fddfec2b,夜间逃避行为,INTERPERSONAL
07e98330-e4ce-519e-a6eb-2f556ef3ca61,晨间逃避行为,INTERPERSONAL
3ecd66a8-d0bf-5849-8ab3-d6425e6293a4,应激性逃避行为,EMOTIONAL
32ea4acd-a385-5d58-9359-e63828fd6e73,初期疲惫无力,INTERPERSONAL
b09667d5-ac5d-529e-b412-75fccf6d6e18,慢性疲惫无力,EMOTIONAL
161ed11c-6db6-5372-833c-631a819a954b,急性疲惫无力,INTERPERSONAL
cc5db567-b7cc-5043-9e20-aebf3c78ab4a,反复疲惫无力,INTERPERSONAL
b1616982-577c-5f52-9398-f356c61c0835,夜间疲惫无力,EMOTIONAL
2ed14a45-da76-5d4a-95d5-98a6c591bcfe,晨间疲惫无力,INTERPERSONAL
2979aade-51ec-5d72-8bb1-9767cad7c510,应激性疲惫无力,ACADEMIC
2b13f8cd-54e9-56c3-a393-bc947f617ab3,初期恶心呕吐,INTERPERSONAL
de7a6264-4ca1-534d-8401-93a0c11399ba,慢性恶心呕吐,INTERPERSONAL
1c43827f-c050-5db3-84bc-00c8047c3cb3,急性恶心呕吐,EMOTIONAL
6b6af0d8-ebb1-54a6-bc38-0a21c04aba58,反复恶心呕吐,INTERPERSONAL
c9896cf4-9f3b-57df-8108-299448d26209,夜间恶心呕吐,EMOTIONAL
bf3baf19-6a39-52f1-be74-e1ab6d4fdb95,晨间恶心呕吐,INTERPERSONAL
6e7a6ad9-ebbe-5088-a1f1-e6cf2a0c777e,应激性恶心呕吐,ACADEMIC
2e77237e-7b3c-565c-a66e-0fe12a278af8,初期手震颤,ACADEMIC
b42eff96-1fc9-5170-804e-aabd9e43b91b,慢性手震颤,ACADEMIC
a80454fa-f223-583e-aff4-81bad34cccd5,急性手震颤,ACADEMIC
e8d667ba-dba2-504b-8fc4-fd99eb46b229,反复手震颤,ACADEMIC
6151e96e-294a-5ea7-ab80-6c30a71e75ac,夜间手震颤,ACADEMIC
9f346a6d-0a4f-5916-92f0-eab75b5ddeb7,晨间手震颤,EMOTIONAL
dd2f5a88-de05-534f-b8da-f0b272eb3568,应激性手震颤,INTERPERSONAL
